"id","box_id","ts","measurement_id","measurement_data","description","created_at"
15289,"04a600b9b0b8","2025-10-29 11:52:51","1QI80emZ6u55EAIclz4M","{""zphs01b"": {""voc"": 0, ""temp"": 22.1, ""pm2_5"": 0, ""pm1_0"": 0, ""pm10"": 317, ""o3"": 0.02, ""no2"": 8.97, ""hum"": 0, ""fmhd"": 0, ""co2"": 5000, ""co"": 0.0}, ""smell_b"": {}, ""sfa30"": {""temp"": 24.545, ""hum"": 35.25, ""fmhd"": 0.8}, ""sen5x"": {""voc"": 74.0, ""temp"": 25.0, ""pm4_0"": 4497.0, ""pm2_5"": 4497.0, ""pm1_0"": 4288.1, ""pm10"": 4497.0, ""nox"": 1.0, ""mass_c"": 4444.775, ""hum"": 38.8}, ""scd41"": {""temp"": 23.72892, ""hum"": 43.00298, ""co2"": 663}, ""power_source"": 0, ""mics6814"": {""red_res"": 0, ""no2_res"": 0, ""no2"": 0.17, ""nh3_res"": 0, ""nh3"": 0.73, ""co_res"": 0, ""co"": 44.0}}",NULL,"2025-10-29 11:54:00.982243"
15290,"04a600b9b0b8","2025-10-29 11:52:51","1QI80emZ6u55EAIclz4M","{""bme688"": [{""temp"": 24.60055, ""step"": 9, ""status"": 1, ""pres"": 978.6346, ""meas_profile"": ""HP-8"", ""meas_id"": 8, ""hum"": 32.58672, ""gas_res"": 5684.846}, {""temp"": 24.59314, ""step"": 9, ""status"": 1, ""pres"": 978.7887, ""meas_profile"": ""HP-7"", ""meas_id"": 7, ""hum"": 32.49972, ""gas_res"": 6125.574}, {""temp"": 24.67279, ""step"": 9, ""status"": 1, ""pres"": 979.0165, ""meas_profile"": ""HP-6"", ""meas_id"": 6, ""hum"": 32.34066, ""gas_res"": 7750.061}, {""temp"": 24.59769, ""step"": 9, ""status"": 1, ""pres"": 978.7313, ""meas_profile"": ""HP-5"", ""meas_id"": 5, ""hum"": 32.5342, ""gas_res"": 25000.0}, {""temp"": 24.31088, ""step"": 9, ""status"": 1, ""pres"": 978.8463, ""meas_profile"": ""HP-4"", ""meas_id"": 4, ""hum"": 32.13129, ""gas_res"": 20138.45}, {""temp"": 24.46116, ""step"": 9, ""status"": 1, ""pres"": 978.3269, ""meas_profile"": ""HP-3"", ""meas_id"": 3, ""hum"": 32.54897, ""gas_res"": 5954.596}, {""temp"": 24.37545, ""step"": 9, ""status"": 1, ""pres"": 978.4916, ""meas_profile"": ""HP-2"", ""meas_id"": 2, ""hum"": 32.82324, ""gas_res"": 7264.472}, {""temp"": 24.15493, ""step"": 9, ""status"": 1, ""pres"": 978.6077, ""meas_profile"": ""HP-1"", ""meas_id"": 1, ""hum"": 32.3491, ""gas_res"": 8228.336}]}",NULL,"2025-10-29 11:54:02.137489"
15291,"04a600b9b0b8","2025-10-29 11:52:51","1QI80emZ6u55EAIclz4M","{""bme688"": [{""temp"": 24.59993, ""step"": 8, ""status"": 1, ""pres"": 978.6336, ""meas_profile"": ""HP-8"", ""meas_id"": 8, ""hum"": 32.59233, ""gas_res"": 5684.846}, {""temp"": 24.59283, ""step"": 8, ""status"": 1, ""pres"": 978.788, ""meas_profile"": ""HP-7"", ""meas_id"": 7, ""hum"": 32.50529, ""gas_res"": 6052.582}, {""temp"": 24.67279, ""step"": 8, ""status"": 1, ""pres"": 979.0184, ""meas_profile"": ""HP-6"", ""meas_id"": 6, ""hum"": 32.34634, ""gas_res"": 7994.004}, {""temp"": 24.59769, ""step"": 8, ""status"": 1, ""pres"": 978.7313, ""meas_profile"": ""HP-5"", ""meas_id"": 5, ""hum"": 32.5342, ""gas_res"": 25000.0}, {""temp"": 24.31088, ""step"": 8, ""status"": 1, ""pres"": 978.848, ""meas_profile"": ""HP-4"", ""meas_id"": 4, ""hum"": 32.12561, ""gas_res"": 19746.99}, {""temp"": 24.46086, ""step"": 8, ""status"": 1, ""pres"": 978.3281, ""meas_profile"": ""HP-3"", ""meas_id"": 3, ""hum"": 32.54325, ""gas_res"": 7633.588}, {""temp"": 24.37545, ""step"": 8, ""status"": 1, ""pres"": 978.4933, ""meas_profile"": ""HP-2"", ""meas_id"": 2, ""hum"": 32.82324, ""gas_res"": 7249.66}, {""temp"": 24.15462, ""step"": 8, ""status"": 1, ""pres"": 978.609, ""meas_profile"": ""HP-1"", ""meas_id"": 1, ""hum"": 32.34325, ""gas_res"": 8159.103}]}",NULL,"2025-10-29 11:54:03.605725"
15292,"04a600b9b0b8","2025-10-29 11:52:51","1QI80emZ6u55EAIclz4M","{""bme688"": [{""temp"": 24.59962, ""step"": 7, ""status"": 1, ""pres"": 978.6332, ""meas_profile"": ""HP-8"", ""meas_id"": 8, ""hum"": 32.57529, ""gas_res"": 5684.846}, {""temp"": 24.59252, ""step"": 7, ""status"": 1, ""pres"": 978.7876, ""meas_profile"": ""HP-7"", ""meas_id"": 7, ""hum"": 32.52769, ""gas_res"": 6049.149}, {""temp"": 24.67279, ""step"": 7, ""status"": 1, ""pres"": 979.0184, ""meas_profile"": ""HP-6"", ""meas_id"": 6, ""hum"": 32.34066, ""gas_res"": 7870.143}, {""temp"": 24.59801, ""step"": 7, ""status"": 1, ""pres"": 978.7335, ""meas_profile"": ""HP-5"", ""meas_id"": 5, ""hum"": 32.54546, ""gas_res"": 25000.0}, {""temp"": 24.31088, ""step"": 7, ""status"": 1, ""pres"": 978.8497, ""meas_profile"": ""HP-4"", ""meas_id"": 4, ""hum"": 32.14267, ""gas_res"": 19041.95}, {""temp"": 24.46054, ""step"": 7, ""status"": 1, ""pres"": 978.3274, ""meas_profile"": ""HP-3"", ""meas_id"": 3, ""hum"": 32.53186, ""gas_res"": 7294.278}, {""temp"": 24.37514, ""step"": 7, ""status"": 1, ""pres"": 978.493, ""meas_profile"": ""HP-2"", ""meas_id"": 2, ""hum"": 32.84572, ""gas_res"": 6961.062}, {""temp"": 24.15431, ""step"": 7, ""status"": 1, ""pres"": 978.6085, ""meas_profile"": ""HP-1"", ""meas_id"": 1, ""hum"": 32.35485, ""gas_res"": 5892.101}]}",NULL,"2025-10-29 11:54:04.695588"
15293,"04a600b9b0b8","2025-10-29 11:52:51","1QI80emZ6u55EAIclz4M","{""bme688"": [{""temp"": 24.59932, ""step"": 6, ""status"": 1, ""pres"": 978.6326, ""meas_profile"": ""HP-8"", ""meas_id"": 8, ""hum"": 32.58093, ""gas_res"": 17353.58}, {""temp"": 24.59252, ""step"": 6, ""status"": 1, ""pres"": 978.7893, ""meas_profile"": ""HP-7"", ""meas_id"": 7, ""hum"": 32.51088, ""gas_res"": 22808.27}, {""temp"": 24.67279, ""step"": 6, ""status"": 1, ""pres"": 979.02, ""meas_profile"": ""HP-6"", ""meas_id"": 6, ""hum"": 32.34066, ""gas_res"": 44568.25}, {""temp"": 24.59801, ""step"": 6, ""status"": 1, ""pres"": 978.7353, ""meas_profile"": ""HP-5"", ""meas_id"": 5, ""hum"": 32.53423, ""gas_res"": 143016.8}, {""temp"": 24.31088, ""step"": 6, ""status"": 1, ""pres"": 978.8497, ""meas_profile"": ""HP-4"", ""meas_id"": 4, ""hum"": 32.13129, ""gas_res"": 136279.0}, {""temp"": 24.46054, ""step"": 6, ""status"": 1, ""pres"": 978.3274, ""meas_profile"": ""HP-3"", ""meas_id"": 3, ""hum"": 32.55461, ""gas_res"": 85475.8}, {""temp"": 24.37484, ""step"": 6, ""status"": 1, ""pres"": 978.494, ""meas_profile"": ""HP-2"", ""meas_id"": 2, ""hum"": 32.82318, ""gas_res"": 109308.3}, {""temp"": 24.15431, ""step"": 6, ""status"": 1, ""pres"": 978.6085, ""meas_profile"": ""HP-1"", ""meas_id"": 1, ""hum"": 32.34904, ""gas_res"": 100000.0}]}",NULL,"2025-10-29 11:54:05.976584"
15294,"04a600b9b0b8","2025-10-29 11:52:51","1QI80emZ6u55EAIclz4M","{""bme688"": [{""temp"": 24.59901, ""step"": 5, ""status"": 1, ""pres"": 978.6322, ""meas_profile"": ""HP-8"", ""meas_id"": 8, ""hum"": 32.58091, ""gas_res"": 17158.18}, {""temp"": 24.59252, ""step"": 5, ""status"": 1, ""pres"": 978.7893, ""meas_profile"": ""HP-7"", ""meas_id"": 7, ""hum"": 32.49967, ""gas_res"": 22614.84}, {""temp"": 24.6731, ""step"": 5, ""status"": 1, ""pres"": 979.0204, ""meas_profile"": ""HP-6"", ""meas_id"": 6, ""hum"": 32.34637, ""gas_res"": 44475.33}, {""temp"": 24.59801, ""step"": 5, ""status"": 1, ""pres"": 978.7353, ""meas_profile"": ""HP-5"", ""meas_id"": 5, ""hum"": 32.53985, ""gas_res"": 143136.7}, {""temp"": 24.31088, ""step"": 5, ""status"": 1, ""pres"": 978.8513, ""meas_profile"": ""HP-4"", ""meas_id"": 4, ""hum"": 32.11423, ""gas_res"": 135413.9}, {""temp"": 24.46024, ""step"": 5, ""status"": 1, ""pres"": 978.327, ""meas_profile"": ""HP-3"", ""meas_id"": 3, ""hum"": 32.53751, ""gas_res"": 82740.79}, {""temp"": 24.37452, ""step"": 5, ""status"": 1, ""pres"": 978.4936, ""meas_profile"": ""HP-2"", ""meas_id"": 2, ""hum"": 32.81753, ""gas_res"": 106577.9}, {""temp"": 24.15431, ""step"": 5, ""status"": 1, ""pres"": 978.6102, ""meas_profile"": ""HP-1"", ""meas_id"": 1, ""hum"": 32.34904, ""gas_res"": 100000.0}]}",NULL,"2025-10-29 11:54:07.258597"
15295,"04a600b9b0b8","2025-10-29 11:52:51","1QI80emZ6u55EAIclz4M","{""bme688"": [{""temp"": 24.59901, ""step"": 4, ""status"": 1, ""pres"": 978.6322, ""meas_profile"": ""HP-8"", ""meas_id"": 8, ""hum"": 32.60926, ""gas_res"": 17062.12}, {""temp"": 24.59252, ""step"": 4, ""status"": 1, ""pres"": 978.7893, ""meas_profile"": ""HP-7"", ""meas_id"": 7, ""hum"": 32.51088, ""gas_res"": 22638.84}, {""temp"": 24.6731, ""step"": 4, ""status"": 1, ""pres"": 979.0222, ""meas_profile"": ""HP-6"", ""meas_id"": 6, ""hum"": 32.32932, ""gas_res"": 45665.36}, {""temp"": 24.59832, ""step"": 4, ""status"": 1, ""pres"": 978.7374, ""meas_profile"": ""HP-5"", ""meas_id"": 5, ""hum"": 32.53426, ""gas_res"": 147211.0}, {""temp"": 24.31088, ""step"": 4, ""status"": 1, ""pres"": 978.8513, ""meas_profile"": ""HP-4"", ""meas_id"": 4, ""hum"": 32.13129, ""gas_res"": 138715.8}, {""temp"": 24.45993, ""step"": 4, ""status"": 1, ""pres"": 978.3265, ""meas_profile"": ""HP-3"", ""meas_id"": 3, ""hum"": 32.53749, ""gas_res"": 80402.01}, {""temp"": 24.37421, ""step"": 4, ""status"": 1, ""pres"": 978.493, ""meas_profile"": ""HP-2"", ""meas_id"": 2, ""hum"": 32.83438, ""gas_res"": 103664.7}, {""temp"": 24.15431, ""step"": 4, ""status"": 1, ""pres"": 978.6102, ""meas_profile"": ""HP-1"", ""meas_id"": 1, ""hum"": 32.33159, ""gas_res"": 100000.0}]}",NULL,"2025-10-29 11:54:08.723139"
15296,"04a600b9b0b8","2025-10-29 11:52:51","1QI80emZ6u55EAIclz4M","{""bme688"": [{""temp"": 24.5987, ""step"": 3, ""status"": 1, ""pres"": 978.6317, ""meas_profile"": ""HP-8"", ""meas_id"": 8, ""hum"": 32.60923, ""gas_res"": 36898.24}, {""temp"": 24.59252, ""step"": 3, ""status"": 1, ""pres"": 978.7893, ""meas_profile"": ""HP-7"", ""meas_id"": 7, ""hum"": 32.52769, ""gas_res"": 53826.75}, {""temp"": 24.67279, ""step"": 3, ""status"": 1, ""pres"": 979.0218, ""meas_profile"": ""HP-6"", ""meas_id"": 6, ""hum"": 32.36339, ""gas_res"": 194787.9}, {""temp"": 24.59801, ""step"": 3, ""status"": 1, ""pres"": 978.7369, ""meas_profile"": ""HP-5"", ""meas_id"": 5, ""hum"": 32.5567, ""gas_res"": 462720.3}, {""temp"": 24.31026, ""step"": 3, ""status"": 1, ""pres"": 978.8521, ""meas_profile"": ""HP-4"", ""meas_id"": 4, ""hum"": 32.14261, ""gas_res"": 522182.6}, {""temp"": 24.45962, ""step"": 3, ""status"": 1, ""pres"": 978.3261, ""meas_profile"": ""HP-3"", ""meas_id"": 3, ""hum"": 32.54315, ""gas_res"": 259109.3}, {""temp"": 24.3739, ""step"": 3, ""status"": 1, ""pres"": 978.4943, ""meas_profile"": ""HP-2"", ""meas_id"": 2, ""hum"": 32.83435, ""gas_res"": 507056.2}, {""temp"": 24.154, ""step"": 3, ""status"": 1, ""pres"": 978.6096, ""meas_profile"": ""HP-1"", ""meas_id"": 1, ""hum"": 32.35482, ""gas_res"": 355432.2}]}",NULL,"2025-10-29 11:54:09.855869"
15297,"04a600b9b0b8","2025-10-29 11:52:51","1QI80emZ6u55EAIclz4M","{""bme688"": [{""temp"": 24.5987, ""step"": 2, ""status"": 1, ""pres"": 978.6317, ""meas_profile"": ""HP-8"", ""meas_id"": 8, ""hum"": 32.62624, ""gas_res"": 39862.97}, {""temp"": 24.59221, ""step"": 2, ""status"": 1, ""pres"": 978.7887, ""meas_profile"": ""HP-7"", ""meas_id"": 7, ""hum"": 32.49963, ""gas_res"": 61865.64}, {""temp"": 24.67279, ""step"": 2, ""status"": 1, ""pres"": 979.0235, ""meas_profile"": ""HP-6"", ""meas_id"": 6, ""hum"": 32.36339, ""gas_res"": 247821.9}, {""temp"": 24.59801, ""step"": 2, ""status"": 1, ""pres"": 978.7386, ""meas_profile"": ""HP-5"", ""meas_id"": 5, ""hum"": 32.53985, ""gas_res"": 598655.4}, {""temp"": 24.30995, ""step"": 2, ""status"": 1, ""pres"": 978.8515, ""meas_profile"": ""HP-4"", ""meas_id"": 4, ""hum"": 32.15396, ""gas_res"": 634252.1}, {""temp"": 24.45931, ""step"": 2, ""status"": 1, ""pres"": 978.3273, ""meas_profile"": ""HP-3"", ""meas_id"": 3, ""hum"": 32.54312, ""gas_res"": 320100.0}, {""temp"": 24.37359, ""step"": 2, ""status"": 1, ""pres"": 978.4936, ""meas_profile"": ""HP-2"", ""meas_id"": 2, ""hum"": 32.82307, ""gas_res"": 571109.9}, {""temp"": 24.15368, ""step"": 2, ""status"": 1, ""pres"": 978.6092, ""meas_profile"": ""HP-1"", ""meas_id"": 1, ""hum"": 32.34317, ""gas_res"": 421052.6}]}",NULL,"2025-10-29 11:54:11.095976"
15298,"04a600b9b0b8","2025-10-29 11:52:51","1QI80emZ6u55EAIclz4M","{""bme688"": [{""temp"": 24.59901, ""step"": 1, ""status"": 1, ""pres"": 978.6322, ""meas_profile"": ""HP-8"", ""meas_id"": 8, ""hum"": 32.60359, ""gas_res"": 9014.085}, {""temp"": 24.59221, ""step"": 1, ""status"": 1, ""pres"": 978.7887, ""meas_profile"": ""HP-7"", ""meas_id"": 7, ""hum"": 32.51645, ""gas_res"": 10981.47}, {""temp"": 24.67279, ""step"": 1, ""status"": 1, ""pres"": 979.0235, ""meas_profile"": ""HP-6"", ""meas_id"": 6, ""hum"": 32.34634, ""gas_res"": 25000.0}, {""temp"": 24.59832, ""step"": 1, ""status"": 1, ""pres"": 978.7392, ""meas_profile"": ""HP-5"", ""meas_id"": 5, ""hum"": 32.55673, ""gas_res"": 40738.38}, {""temp"": 24.30995, ""step"": 1, ""status"": 1, ""pres"": 978.8532, ""meas_profile"": ""HP-4"", ""meas_id"": 4, ""hum"": 32.14259, ""gas_res"": 34650.79}, {""temp"": 24.45931, ""step"": 1, ""status"": 1, ""pres"": 978.3273, ""meas_profile"": ""HP-3"", ""meas_id"": 3, ""hum"": 32.56018, ""gas_res"": 25000.0}, {""temp"": 24.37359, ""step"": 1, ""status"": 1, ""pres"": 978.4936, ""meas_profile"": ""HP-2"", ""meas_id"": 2, ""hum"": 32.83433, ""gas_res"": 32339.57}, {""temp"": 24.15368, ""step"": 1, ""status"": 1, ""pres"": 978.6092, ""meas_profile"": ""HP-1"", ""meas_id"": 1, ""hum"": 32.31991, ""gas_res"": 23871.69}]}",NULL,"2025-10-29 11:54:12.376858"
