Sensor Index,Sensor ID,Time Since PowerOn,Real time clock,temperature,pressure,humidity,gas_resistance,Heater Profile Step Index,Scanning Mode Enabled,Scanning Cycle Index,Label Tag,Error Code,label
0,480007249,4660,1722344704,28.100504,968.047852,30.936913,5684.846191,0,1,1,0,0,acetone
1,479990353,4665,1722344704,28.218313,968.393799,31.152893,6702.974609,0,1,1,0,0,acetone
2,480026197,4669,1722344704,28.091,968.101685,30.445438,7595.537598,0,1,1,0,0,acetone
3,479999824,4674,1722344704,28.31274,968.367188,30.147877,5684.846191,0,1,1,0,0,acetone
4,479999071,4679,1722344704,28.791906,968.145508,30.056675,5684.846191,0,1,1,0,0,acetone
5,480020830,4683,1722344704,28.788294,968.684143,30.593672,5684.846191,0,1,1,0,0,acetone
6,480008288,4687,1722344704,28.777592,968.925659,30.384321,5684.846191,0,1,1,0,0,acetone
7,480006511,4692,1722344704,28.795441,968.543579,30.140501,5684.846191,0,1,1,0,0,acetone
0,480007249,4940,1722344704,27.992641,968.123108,30.843578,57181.148438,1,1,1,0,0,acetone
1,479990353,4945,1722344704,28.107822,968.481079,31.053612,68854.226562,1,1,1,0,0,acetone
2,480026197,4949,1722344704,28.04867,968.160522,30.363819,66030.4375,1,1,1,0,0,acetone
3,479999824,4954,1722344704,28.238703,968.381409,30.052547,24700.886719,1,1,1,0,0,acetone
4,479999071,4958,1722344704,28.672068,968.1828,29.951496,38740.921875,1,1,1,0,0,acetone
5,480020830,4962,1722344704,28.662785,968.738281,30.499166,21476.509766,1,1,1,0,0,acetone
6,480008288,4967,1722344704,28.560974,968.94281,30.287157,13289.036133,1,1,1,0,0,acetone
7,480006511,4971,1722344704,28.632629,968.586365,30.059425,13338.891602,1,1,1,0,0,acetone
0,480007249,6340,1722344706,28.306198,968.125671,30.347479,57605.761719,2,1,1,0,0,acetone
1,479990353,6344,1722344706,28.459385,968.477661,30.510595,71991.0,2,1,1,0,0,acetone
2,480026197,6349,1722344706,28.437122,968.193481,29.869995,69983.59375,2,1,1,0,0,acetone
3,479999824,6353,1722344706,28.670593,968.405457,29.518875,25301.443359,2,1,1,0,0,acetone
4,479999071,6358,1722344706,29.133951,968.192688,29.435337,39714.550781,2,1,1,0,0,acetone
5,480020830,6362,1722344706,29.085415,968.735229,29.975822,22448.263672,2,1,1,0,0,acetone
6,480008288,6367,1722344706,28.943829,968.99646,29.786079,13422.818359,2,1,1,0,0,acetone
7,480006511,6371,1722344706,29.010052,968.623169,29.641768,13796.077148,2,1,1,0,0,acetone
0,480007249,10540,1722344710,28.747692,968.172424,28.884655,59122.402344,3,1,1,0,0,acetone
1,479990353,10544,1722344710,28.969147,968.500732,28.794146,74635.570312,3,1,1,0,0,acetone
2,480026197,10549,1722344710,28.94759,968.201538,28.175459,72357.265625,3,1,1,0,0,acetone
3,479999824,10554,1722344710,29.225887,968.436401,27.809263,25605.121094,3,1,1,0,0,acetone
4,479999071,10558,1722344710,29.690714,968.215698,27.659815,40050.0625,3,1,1,0,0,acetone
5,480020830,10562,1722344710,29.615627,968.833313,28.290468,23620.59375,3,1,1,0,0,acetone
6,480008288,10567,1722344710,29.432476,969.076294,28.13525,13689.839844,3,1,1,0,0,acetone
7,480006511,10571,1722344710,29.515757,968.702148,28.076164,14190.6875,3,1,1,0,0,acetone
0,480007249,11240,1722344711,29.279491,968.121826,28.753189,14739.750977,4,1,1,0,0,acetone
