Sensor Index,Sensor ID,Time Since PowerOn,Real time clock,temperature,pressure,humidity,gas_resistance,Heater Profile Step Index,Scanning Mode Enabled,Scanning Cycle Index,Label Tag,Error Code,label
0,480007249,4940,1722344704,28.607218,980.464966,31.183619,10547.132812,0,1,1,0,0,redidlo
1,479990353,4945,1722344704,28.695431,980.821289,31.700232,15355.085938,0,1,1,0,0,redidlo
2,480026197,4950,1722344704,28.506842,980.536377,30.995556,19637.925781,0,1,1,0,0,redidlo
3,479999824,4954,1722344704,28.655787,980.789734,30.818853,6849.314941,0,1,1,0,0,redidlo
4,479999071,4959,1722344704,28.766941,980.663574,31.34786,10505.581055,0,1,1,0,0,redidlo
5,480020830,4963,1722344704,28.803661,981.172485,31.728592,9411.764648,0,1,1,0,0,redidlo
6,480008288,4967,1722344704,28.686914,981.258484,31.710516,5684.846191,0,1,1,0,0,redidlo
7,480006511,4972,1722344704,28.699234,980.971863,31.368507,6280.66748,0,1,1,0,0,redidlo
0,480007249,5220,1722344705,28.501862,980.57074,31.073408,217918.703125,1,1,1,0,0,redidlo
1,479990353,5225,1722344705,28.589962,980.872559,31.595215,245504.671875,1,1,1,0,0,redidlo
2,480026197,5229,1722344705,28.45953,980.584717,30.896315,304943.40625,1,1,1,0,0,redidlo
3,479999824,5234,1722344705,28.594086,980.836243,30.751925,104875.054688,1,1,1,0,0,redidlo
4,479999071,5239,1722344705,28.682056,980.761414,31.250248,166125.890625,1,1,1,0,0,redidlo
5,480020830,5243,1722344705,28.683277,981.22467,31.627954,110654.851562,1,1,1,0,0,redidlo
6,480008288,5247,1722344705,28.467779,981.267456,31.611738,43522.613281,1,1,1,0,0,redidlo
7,480006511,5252,1722344705,28.551224,981.013977,31.29335,60634.769531,1,1,1,0,0,redidlo
0,480007249,6620,1722344706,28.822947,980.572937,30.61599,216536.265625,2,1,1,0,0,redidlo
1,479990353,6625,1722344706,28.941525,980.885742,31.089281,249451.890625,2,1,1,0,0,redidlo
2,480026197,6629,1722344706,28.835535,980.577576,30.410795,312767.25,2,1,1,0,0,redidlo
3,479999824,6634,1722344706,29.023514,980.797241,30.232426,105198.273438,2,1,1,0,0,redidlo
4,479999071,6639,1722344706,29.146435,980.749268,30.736359,167265.59375,2,1,1,0,0,redidlo
5,480020830,6643,1722344706,29.139206,981.224121,31.104404,113074.203125,2,1,1,0,0,redidlo
6,480008288,6647,1722344706,28.870785,981.267456,31.092066,42866.710938,2,1,1,0,0,redidlo
7,480006511,6652,1722344706,28.948383,980.992493,30.86919,61420.34375,2,1,1,0,0,redidlo
0,480007249,10820,1722344710,29.246881,980.584961,29.236334,210526.3125,3,1,1,0,0,redidlo
1,479990353,10825,1722344710,29.436224,980.85968,29.408058,249269.71875,3,1,1,0,0,redidlo
2,480026197,10829,1722344710,29.353474,980.592896,28.77047,311057.09375,3,1,1,0,0,redidlo
3,479999824,10834,1722344710,29.593618,980.827881,28.53723,103101.085938,3,1,1,0,0,redidlo
4,479999071,10839,1722344710,29.728161,980.746399,28.903809,161718.25,3,1,1,0,0,redidlo
5,480020830,10843,1722344710,29.679663,981.203857,29.391098,114362.296875,3,1,1,0,0,redidlo
6,480008288,10847,1722344710,29.392176,981.301453,29.413788,42780.75,3,1,1,0,0,redidlo
7,480006511,10852,1722344710,29.483685,981.001221,29.294048,61955.46875,3,1,1,0,0,redidlo
0,480007249,11520,1722344711,29.783703,980.581543,29.132982,36898.242188,4,1,1,0,0,redidlo
1,479990353,11525,1722344711,30.016308,980.815125,29.264355,51581.703125,4,1,1,0,0,redidlo
2,480026197,11529,1722344711,29.916239,980.564636,28.575439,60122.125,4,1,1,0,0,redidlo
3,479999824,11534,1722344711,30.134109,980.808777,28.367899,21199.072266,4,1,1,0,0,redidlo
4,479999071,11538,1722344711,30.314886,980.714417,28.726625,33092.039062,4,1,1,0,0,redidlo
5,480020830,11543,1722344711,30.24062,981.191406,29.224026,28533.214844,4,1,1,0,0,redidlo
6,480008288,11547,1722344711,30.011801,981.314758,29.256269,10433.648438,4,1,1,0,0,redidlo
7,480006511,11552,1722344711,30.068333,981.01593,29.133514,16833.246094,4,1,1,0,0,redidlo
