Sensor Index,Sensor ID,Time Since PowerOn,Real time clock,temperature,pressure,humidity,gas_resistance,Heater Profile Step Index,Scanning Mode Enabled,Scanning Cycle Index,Label Tag,Error Code,label
0,480007249,5580,1722344705,27.679083,987.495544,32.368557,14873.34375,0,1,1,0,0,savo
1,479990353,5585,1722344705,27.751242,987.769043,33.004574,17713.810547,0,1,1,0,0,savo
2,480026197,5589,1722344705,27.650259,987.462708,32.005692,26090.501953,0,1,1,0,0,savo
3,479999824,5594,1722344705,27.806808,987.715759,31.873873,9738.283203,0,1,1,0,0,savo
4,479999071,5598,1722344705,28.125299,987.604736,32.055614,14548.760742,0,1,1,0,0,savo
5,480020830,5602,1722344705,28.124893,988.114014,32.474819,11107.254883,0,1,1,0,0,savo
6,480008288,5607,1722344705,27.996771,988.245117,32.47646,5684.846191,0,1,1,0,0,savo
7,480006511,5611,1722344705,28.013458,987.913879,32.404514,7109.53125,0,1,1,0,0,savo
0,480007249,5860,1722344705,27.571218,987.588501,32.268494,352132.0625,1,1,1,0,0,savo
1,479990353,5864,1722344705,27.653309,987.815308,32.899311,287964.0,1,1,1,0,0,savo
2,480026197,5869,1722344705,27.600458,987.52887,31.911243,448729.1875,1,1,1,0,0,savo
3,479999824,5873,1722344705,27.757452,987.781128,31.768301,184637.578125,1,1,1,0,0,savo
4,479999071,5878,1722344705,28.020441,987.642029,31.93317,267432.75,1,1,1,0,0,savo
5,480020830,5882,1722344705,28.001947,988.173279,32.35656,136278.953125,1,1,1,0,0,savo
6,480008288,5887,1722344705,27.797787,988.265381,32.350689,82740.789062,1,1,1,0,0,savo
7,480006511,5891,1722344705,27.862986,988.005371,32.283302,71210.015625,1,1,1,0,0,savo
0,480007249,7260,1722344707,27.89983,987.575623,31.702654,342933.6875,2,1,1,0,0,savo
1,479990353,7265,1722344707,28.004864,987.831787,32.28339,294422.09375,2,1,1,0,0,savo
2,480026197,7269,1722344707,27.986416,987.587646,31.306911,457142.84375,2,1,1,0,0,savo
