Sensor Index,Sensor ID,Time Since PowerOn,Real time clock,temperature,pressure,humidity,gas_resistance,Heater Profile Step Index,Scanning Mode Enabled,Scanning Cycle Index,Label Tag,Error Code,label
0,480007249,7162,1722344706,27.383083,986.69043,29.502663,19968.798828,0,1,1,0,0,softasept
1,479990353,7167,1722344707,27.495108,986.980591,30.043146,24128.181641,0,1,1,0,0,softasept
2,480026197,7171,1722344707,27.334024,986.696594,29.272284,27362.121094,0,1,1,0,0,softasept
3,479999824,7176,1722344707,27.518061,986.950623,29.07844,9529.481445,0,1,1,0,0,softasept
4,479999071,7180,1722344707,27.623474,986.830627,29.572086,15062.367188,0,1,1,0,0,softasept
5,480020830,7185,1722344707,27.607494,987.322632,29.930424,13239.552734,0,1,1,0,0,softasept
6,480008288,7189,1722344707,27.490499,987.429016,30.099112,5802.357422,0,1,1,0,0,softasept
7,480006511,7194,1722344707,27.47323,987.14209,29.747946,9641.458008,0,1,1,0,0,softasept
0,480007249,7442,1722344707,27.272715,986.751221,29.427032,573027.4375,1,1,1,0,0,softasept
1,479990353,7446,1722344707,27.389639,987.055054,29.95652,425779.625,1,1,1,0,0,softasept
2,480026197,7451,1722344707,27.279242,986.738647,29.190506,476611.59375,1,1,1,0,0,softasept
3,479999824,7455,1722344707,27.463766,986.978088,29.007805,177346.734375,1,1,1,0,0,softasept
4,479999071,7460,1722344707,27.536093,986.882996,29.487047,286754.40625,1,1,1,0,0,softasept
5,480020830,7464,1722344707,27.469181,987.365601,29.824625,172681.28125,1,1,1,0,0,softasept
6,480008288,7469,1722344707,27.299076,987.474976,30.01589,97393.953125,1,1,1,0,0,softasept
7,480006511,7473,1722344707,27.330158,987.22998,29.685806,119402.984375,1,1,1,0,0,softasept
0,480007249,8842,1722344708,27.601322,986.763184,29.030378,549503.625,2,1,1,0,0,softasept
1,479990353,8846,1722344708,27.736176,987.037109,29.499857,436115.84375,2,1,1,0,0,softasept
2,480026197,8851,1722344708,27.670177,986.77948,28.783083,465878.0625,2,1,1,0,0,softasept
3,479999824,8855,1722344708,27.895657,987.005554,28.598595,168754.125,2,1,1,0,0,softasept
4,479999071,8860,1722344708,28.005459,986.881226,29.056528,279247.34375,2,1,1,0,0,softasept
5,480020830,8864,1722344708,27.937912,987.364197,29.40164,171294.75,2,1,1,0,0,softasept
6,480008288,8869,1722344708,27.704594,987.442566,29.557205,94744.632812,2,1,1,0,0,softasept
7,480006511,8874,1722344708,27.732244,987.212891,29.354778,120498.9375,2,1,1,0,0,softasept
