Sensor Index,Sensor ID,Time Since PowerOn,Real time clock,temperature,pressure,humidity,gas_resistance,Heater Profile Step Index,Scanning Mode Enabled,Scanning Cycle Index,Label Tag,Error Code,label
0,480007249,5685,1722344705,32.372528,985.343445,24.28186,32686.414062,0,1,1,0,0,vinegar
1,479990353,5690,1722344705,32.354256,985.59082,24.942268,40467.910156,0,1,1,0,0,vinegar
2,480026197,5695,1722344705,32.525925,985.284302,23.324364,50334.25,0,1,1,0,0,vinegar
3,479999824,5699,1722344705,32.614494,985.503601,23.20277,18856.806641,0,1,1,0,0,vinegar
4,479999071,5704,1722344705,33.335957,985.38855,22.747885,26042.726562,0,1,1,0,0,vinegar
5,480020830,5708,1722344705,33.532127,985.879456,23.033346,24251.611328,0,1,1,0,0,vinegar
6,480008288,5712,1722344705,33.167938,985.872314,23.084764,10174.880859,0,1,1,0,0,vinegar
7,480006511,5717,1722344705,33.181568,985.732971,22.850882,16662.328125,0,1,1,0,0,vinegar
0,480007249,5965,1722344705,32.254627,985.395142,24.197924,1423210.625,1,1,1,0,0,vinegar
1,479990353,5970,1722344705,32.226185,985.651062,24.851675,1058945.25,1,1,1,0,0,vinegar
2,480026197,5974,1722344705,32.4562,985.342163,23.255354,1371734.75,1,1,1,0,0,vinegar
3,479999824,5979,1722344705,32.545387,985.603088,23.117891,538663.875,1,1,1,0,0,vinegar
4,479999071,5983,1722344705,33.218605,985.499268,22.643583,772538.6875,1,1,1,0,0,vinegar
5,480020830,5987,1722344705,33.396366,985.945007,22.970449,483018.875,1,1,1,0,0,vinegar
6,480008288,5992,1722344705,32.953831,985.908508,22.99468,267223.375,1,1,1,0,0,vinegar
7,480006511,5996,1722344705,33.018749,985.808411,22.786003,293915.03125,1,1,1,0,0,vinegar
0,480007249,7365,1722344707,32.485416,985.406555,23.770203,1356740.625,2,1,1,0,0,vinegar
1,479990353,7370,1722344707,32.489864,985.65387,24.301628,1077327.75,2,1,1,0,0,vinegar
2,480026197,7374,1722344707,32.762489,985.341919,22.808775,1368984.0,2,1,1,0,0,vinegar
3,479999824,7379,1722344707,32.878578,985.579102,22.65757,540369.375,2,1,1,0,0,vinegar
4,479999071,7383,1722344707,33.593128,985.436829,22.211985,759221.5,2,1,1,0,0,vinegar
5,480020830,7387,1722344707,33.747295,985.965149,22.517742,481316.09375,2,1,1,0,0,vinegar
6,480008288,7392,1722344707,33.253578,985.912231,22.57892,258129.5625,2,1,1,0,0,vinegar
7,480006511,7396,1722344707,33.317249,985.78302,22.429106,296983.75,2,1,1,0,0,vinegar
0,480007249,11565,1722344711,32.819057,985.416748,22.515373,1313662.625,3,1,1,0,0,vinegar
1,479990353,11570,1722344711,32.881622,985.617065,22.813652,1080738.75,3,1,1,0,0,vinegar
2,480026197,11574,1722344711,33.170887,985.371277,21.513947,1367612.75,3,1,1,0,0,vinegar
3,479999824,11579,1722344711,33.335178,985.586609,21.361752,520589.71875,3,1,1,0,0,vinegar
4,479999071,11583,1722344711,34.045052,985.443542,20.9561,717589.375,3,1,1,0,0,vinegar
